"","...1","freq","neg","global_id","model","prompt_method","A_clean","Q","R"
"21",273,"frequently",NA,273,"mixtral","few_shot",90,"1","The fact that Thomas found it necessary to specify that Olivia used shampoo indicates that this is not always the case. However, since she pays a lot of attention to her hair and talks about it frequently, I would assume that she uses shampoo most of the time when washing her hair."
"22",274,"almost every time",NA,274,"mixtral","few_shot",95,"1","Although it is possible that there may be times when Olivia does not use shampoo while washing her hair, given Thomas's comment about split ends and the fact that she pays a lot of attention to her hair, it seems likely that she uses shampoo almost every time."
"23",274,"every time",NA,274,"mixtral","few_shot",95,"1","Although it is possible that there may be times when Olivia does not use shampoo while washing her hair, given Thomas's comment about split ends and the fact that she pays a lot of attention to her hair, it seems likely that she uses shampoo almost every time."
"24",275,"typically",NA,275,"mixtral","few_shot",95,"1","Stella mentioning that Jared ""jumped out of the plane"" seems like an unnecessary detail unless it was noteworthy or unusual. This implies that he typically does jump during his skydiving courses, and this occasion wasn't any different."
"25",277,"frequently",NA,277,"mixtral","few_shot",90,"1","The fact that Amy writes letters and then mentions mailing them to her cousin indicates that she probably does this frequently. Steve's statement about Amy mailing the letter reinforces this idea, suggesting that it is a common part of her process. Therefore, I would estimate that Amy mails written letters 90% of the time after writing them."
"26",278,"always","yes",278,"mixtral","few_shot",90,"1","The fact that Amy's use of ""expensive"" stationary is mentioned suggests that she does not always write letters and send them. However, since this information was shared with Michelle by Steve, one can assume that Amy writes such letters quite frequently but may have missed sending it on some occasions in the past (90% probability)."
"27",278,"frequently","yes",278,"mixtral","few_shot",90,"1","The fact that Amy's use of ""expensive"" stationary is mentioned suggests that she does not always write letters and send them. However, since this information was shared with Michelle by Steve, one can assume that Amy writes such letters quite frequently but may have missed sending it on some occasions in the past (90% probability)."
"28",279,"generally","yes",279,"mixtral","few_shot",90,"1","Although it's not explicitly stated that Adam walking to the bus stop was unusual during their conversation, generally people don't mention ordinary actions like this. Thus, I assume he walks to the bus stop almost every day and only mentioned it because Virginia might be new to the area or unaware of his routine."
"29",281,"always","yes",281,"mixtral","few_shot",90,"1","Even though it is not explicitly stated that trying things on while clothes shopping is unusual for Esther, mentioning this to George implies she doesn't always try things on. However, given how common an activity this is when going shopping with friends, I assume she tries something on in 90% of her visits to the mall for clothing shopping."
"30",282,"always","yes",282,"mixtral","few_shot",60,"1","Although it is not explicitly stated that Esther always tries things on while she's out shopping with her friends, I assume that she does so about sixty percent of the time. The fact that she mentioned a ""big sale"" and didn't mention any items in particular makes me think she did not buy anything this time around but rather just browsed through clothes racks."
"31",284,"usually","yes",284,"mixtral","few_shot",90,"1","Although there are many ways to cook pasta, such as baking or steaming, most people prefer boiling it. The fact that Clara and Nick were talking about ""the dish"" rather than a specific cooking method suggests that this was not an unusual preparation for him. However, since he explicitly mentioned adding vegetables, we might assume he usually doesn't add them to pasta dishes, which is why he felt the need to point it out here."
"32",285,"almost every time",NA,285,"mixtral","few_shot",95,"1","Preheating the oven is an essential step in most baking processes, especially for cakes. Therefore, it's highly likely that Grace follows this common practice almost every time she bakes a cake; however, Kyle mentioning this specific action might indicate a rare instance where Grace may have forgotten or skipped over pre-heating initially."
"33",285,"every time",NA,285,"mixtral","few_shot",95,"1","Preheating the oven is an essential step in most baking processes, especially for cakes. Therefore, it's highly likely that Grace follows this common practice almost every time she bakes a cake; however, Kyle mentioning this specific action might indicate a rare instance where Grace may have forgotten or skipped over pre-heating initially."
"34",288,"usually",NA,288,"mixtral","few_shot",95,"1","Although not explicitly stated in the context, it is very likely that Greg brings his cellphone onboard when traveling by air as this has become common practice for most travelers. The fact that there was no mention of him forgetting or leaving behind any personal belongings suggests he usually carries all essential items with him during flights."
"35",290,"typically",NA,290,"mixtral","few_shot",90,"1","The fact that Sandy mentioned she ""cut"" her hair herself suggests that she typically trims or cuts her own hair. Additionally, since she mentions it was shorter than intended, this implies a high frequency of self-haircuts as she is comfortable enough to attempt different styles despite lacking formal training."
"36",291,"occasionally",NA,291,"mixtral","few_shot",90,"1","The fact that Henry specifically mentioned looking at the photographs implies that this is something he does regularly but not always. He might occasionally get distracted or absorbed in other aspects of an exhibition, so I would estimate it happens about 90% of his visits to a photo exhibit."
"37",292,"always","yes",292,"mixtral","few_shot",50,"1","The fact that Henry bought a photograph suggests he might not always purchase something, but it does show an interest in photography. However, without more information about his habits, I assume he spends around half of his exhibition visits looking at photographs closely enough to make a decision on buying one."
"38",293,"always","yes",293,"mixtral","few_shot",90,"1","The fact that David felt the need to mention that Mary ""ate"" at the Chinese place suggests that it is not always the case. However, since she regularly goes to restaurants after her interviews, I would assume that she eats at most of them and thus rate my answer 90% of the time."
"39",295,"always",NA,295,"mixtral","few_shot",95,"1","The fact that Helen mentioned locking her car specifically suggests that she might have forgotten to lock it once or twice before, but overall she is a very diligent person who likely always remembers. It's also possible that she simply wanted to reassure Peter after mentioning parking her car in case he was worried about theft or safety."
"40",297,"always",NA,297,"mixtral","few_shot",90,"1","The fact that Gary mentioned specifically about picking the toppings suggests it is not a regular occurrence for someone else to pick them. While some people might have their favorite standard order and always get the same thing, based on common human behavior we can assume there's still room for variation 10% of the time when eating pizza with others or trying something new."
"41",298,"typically","yes",298,"mixtral","few_shot",80,"1","The fact that Gary mentioned ordering pizza but did not mention anything about choosing toppings could suggest that it is something he typically does himself. However, since this detail was left out in the conversation with Stephanie, there's still a chance (20%) that someone else might be deciding on the toppings at least occasionally."
"42",298,"occasionally","yes",298,"mixtral","few_shot",80,"1","The fact that Gary mentioned ordering pizza but did not mention anything about choosing toppings could suggest that it is something he typically does himself. However, since this detail was left out in the conversation with Stephanie, there's still a chance (20%) that someone else might be deciding on the toppings at least occasionally."
"43",299,"normally",NA,299,"mixtral","few_shot",90,"1","The fact that Julia mentioned she ""rinsed"" the dishes suggests that this is something she normally does. Additionally, since Julia wants to avoid annoying her roommates by leaving dirty dishes, it's likely she takes care to thoroughly clean them most of the time."
"44",300,"typically",NA,300,"mixtral","few_shot",30,"1","The fact that Julia mentioned specifically that she ""polished"" the dishes could indicate that it is not part of her usual routine when washing dishes. This might mean that she typically only does a quick rinse instead of thoroughly cleaning and polishing them, which she did on this occasion for some reason."
"45",301,"always",NA,301,"mixtral","few_shot",100,"1","The way Emma mentioned ""checked them out"" as if it is a normal procedure supports this. If she didn't always check out books, there would be no need for her to mention that fact specifically."
"46",305,"always","yes",305,"mixtral","few_shot",95,"1","Lucy mentioning that Jim threw the can away implies that this is a common occurrence. It seems unusual enough for her to bring it up in conversation with Carl later on, suggesting that it's not always done every single time. However, since it was mentioned as something that did happen today, we should assume that it happens most of the time."
"47",306,"usually",NA,306,"mixtral","few_shot",30,"1","The fact that Lucy specifically mentioned Jim adding medication to the dog's food suggests that this is not a common occurrence. This leads me to believe that he usually feeds the dog without needing to add any extra medication, but does so occasionally when required."
"48",306,"occasionally",NA,306,"mixtral","few_shot",30,"1","The fact that Lucy specifically mentioned Jim adding medication to the dog's food suggests that this is not a common occurrence. This leads me to believe that he usually feeds the dog without needing to add any extra medication, but does so occasionally when required."
"49",308,"every time",NA,308,"mixtral","few_shot",100,"1","The statement about Jane nearly falling off the platform does not provide any information regarding her buying a ticket. It is safe to assume that she purchases a ticket every time she takes the subway, as required by transit regulations and common sense."
"50",309,"always",NA,309,"mixtral","few_shot",100,"1","The fact that Annie felt it necessary to mention this detail about Rick closing the fuel cap suggests that he always does this action every single time. It is likely a standard procedure for him and most other drivers, making its mention unusual but not remarkable enough to raise suspicion otherwise."
"51",310,"rarely",NA,310,"mixtral","few_shot",95,"1","Although it's an action that seems too mundane to mention, Annie mentioned it as if it was noteworthy. This suggests that Rick must have forgotten this step only rarely."
"52",312,"occasionally",NA,312,"mixtral","few_shot",90,"1","The fact that Rachel mentioned seeing Brian on the train and then him being late for work indicates that it's a regular occurrence. However, since she did specify ""running late,"" we can assume that he still gets off at his stop most of the time but occasionally may be delayed."
"53",313,"always","yes",313,"mixtral","few_shot",95,"1","Dustin mentioning that Laura took her house keys with her is not particularly remarkable since people generally always take their keys while leaving home. Therefore, it suggests she does this almost every time when getting ready for work in the morning."
"54",313,"generally","yes",313,"mixtral","few_shot",95,"1","Dustin mentioning that Laura took her house keys with her is not particularly remarkable since people generally always take their keys while leaving home. Therefore, it suggests she does this almost every time when getting ready for work in the morning."
"55",313,"almost every time","yes",313,"mixtral","few_shot",95,"1","Dustin mentioning that Laura took her house keys with her is not particularly remarkable since people generally always take their keys while leaving home. Therefore, it suggests she does this almost every time when getting ready for work in the morning."
"56",313,"every time","yes",313,"mixtral","few_shot",95,"1","Dustin mentioning that Laura took her house keys with her is not particularly remarkable since people generally always take their keys while leaving home. Therefore, it suggests she does this almost every time when getting ready for work in the morning."
"57",314,"usually",NA,314,"mixtral","few_shot",95,"1","Dustin mentioning that Laura was ""just"" getting ready to leave with him indicates that she does this almost every working day. However, it is slightly unusual that he mentioned her layers of clothing which makes me think there might be something special about them on that particular day (e.g., they were unusually thick or colorful), hence my answer isn't 100%."
"58",317,"frequently",NA,317,"mixtral","few_shot",90,"1","The fact that Thomas found it necessary to specify that Olivia used shampoo indicates that this is not always the case. However, since she pays a lot of attention to her hair and talks about it frequently, I would assume that she uses shampoo most of the time when washing her hair."
"59",318,"almost every time",NA,318,"mixtral","few_shot",95,"1","Although it is possible that there may be times when Olivia does not use shampoo while washing her hair, given Thomas's comment about split ends and the fact that she pays a lot of attention to her hair, it seems likely that she uses shampoo almost every time."
"60",318,"every time",NA,318,"mixtral","few_shot",95,"1","Although it is possible that there may be times when Olivia does not use shampoo while washing her hair, given Thomas's comment about split ends and the fact that she pays a lot of attention to her hair, it seems likely that she uses shampoo almost every time."
"61",319,"typically",NA,319,"mixtral","few_shot",95,"1","Stella mentioning that Jared ""jumped out of the plane"" seems like an unnecessary detail unless it was noteworthy or unusual. This implies that he typically does jump during his skydiving courses, and this occasion wasn't any different."
"62",321,"frequently",NA,321,"mixtral","few_shot",90,"1","The fact that Amy writes letters and then mentions mailing them to her cousin indicates that she probably does this frequently. Steve's statement about Amy mailing the letter reinforces this idea, suggesting that it is a common part of her process. Therefore, I would estimate that Amy mails written letters 90% of the time after writing them."
"63",322,"always","yes",322,"mixtral","few_shot",90,"1","The fact that Amy's use of ""expensive"" stationary is mentioned suggests that she does not always write letters and send them. However, since this information was shared with Michelle by Steve, one can assume that Amy writes such letters quite frequently but may have missed sending it on some occasions in the past (90% probability)."
"64",322,"frequently","yes",322,"mixtral","few_shot",90,"1","The fact that Amy's use of ""expensive"" stationary is mentioned suggests that she does not always write letters and send them. However, since this information was shared with Michelle by Steve, one can assume that Amy writes such letters quite frequently but may have missed sending it on some occasions in the past (90% probability)."
"65",323,"generally","yes",323,"mixtral","few_shot",90,"1","Although it's not explicitly stated that Adam walking to the bus stop was unusual during their conversation, generally people don't mention ordinary actions like this. Thus, I assume he walks to the bus stop almost every day and only mentioned it because Virginia might be new to the area or unaware of his routine."
"66",325,"always","yes",325,"mixtral","few_shot",90,"1","Even though it is not explicitly stated that trying things on while clothes shopping is unusual for Esther, mentioning this to George implies she doesn't always try things on. However, given how common an activity this is when going shopping with friends, I assume she tries something on in 90% of her visits to the mall for clothing shopping."
"67",326,"always","yes",326,"mixtral","few_shot",60,"1","Although it is not explicitly stated that Esther always tries things on while she's out shopping with her friends, I assume that she does so about sixty percent of the time. The fact that she mentioned a ""big sale"" and didn't mention any items in particular makes me think she did not buy anything this time around but rather just browsed through clothes racks."
"68",328,"usually","yes",328,"mixtral","few_shot",90,"1","Although there are many ways to cook pasta, such as baking or steaming, most people prefer boiling it. The fact that Clara and Nick were talking about ""the dish"" rather than a specific cooking method suggests that this was not an unusual preparation for him. However, since he explicitly mentioned adding vegetables, we might assume he usually doesn't add them to pasta dishes, which is why he felt the need to point it out here."
"69",329,"almost every time",NA,329,"mixtral","few_shot",95,"1","Preheating the oven is an essential step in most baking processes, especially for cakes. Therefore, it's highly likely that Grace follows this common practice almost every time she bakes a cake; however, Kyle mentioning this specific action might indicate a rare instance where Grace may have forgotten or skipped over pre-heating initially."
"70",329,"every time",NA,329,"mixtral","few_shot",95,"1","Preheating the oven is an essential step in most baking processes, especially for cakes. Therefore, it's highly likely that Grace follows this common practice almost every time she bakes a cake; however, Kyle mentioning this specific action might indicate a rare instance where Grace may have forgotten or skipped over pre-heating initially."
"71",332,"usually",NA,332,"mixtral","few_shot",95,"1","Although not explicitly stated in the context, it is very likely that Greg brings his cellphone onboard when traveling by air as this has become common practice for most travelers. The fact that there was no mention of him forgetting or leaving behind any personal belongings suggests he usually carries all essential items with him during flights."
"72",334,"typically",NA,334,"mixtral","few_shot",90,"1","The fact that Sandy mentioned she ""cut"" her hair herself suggests that she typically trims or cuts her own hair. Additionally, since she mentions it was shorter than intended, this implies a high frequency of self-haircuts as she is comfortable enough to attempt different styles despite lacking formal training."
"73",335,"occasionally",NA,335,"mixtral","few_shot",90,"1","The fact that Henry specifically mentioned looking at the photographs implies that this is something he does regularly but not always. He might occasionally get distracted or absorbed in other aspects of an exhibition, so I would estimate it happens about 90% of his visits to a photo exhibit."
"74",336,"always","yes",336,"mixtral","few_shot",50,"1","The fact that Henry bought a photograph suggests he might not always purchase something, but it does show an interest in photography. However, without more information about his habits, I assume he spends around half of his exhibition visits looking at photographs closely enough to make a decision on buying one."
"75",337,"always","yes",337,"mixtral","few_shot",90,"1","The fact that David felt the need to mention that Mary ""ate"" at the Chinese place suggests that it is not always the case. However, since she regularly goes to restaurants after her interviews, I would assume that she eats at most of them and thus rate my answer 90% of the time."
"76",339,"always",NA,339,"mixtral","few_shot",95,"1","The fact that Helen mentioned locking her car specifically suggests that she might have forgotten to lock it once or twice before, but overall she is a very diligent person who likely always remembers. It's also possible that she simply wanted to reassure Peter after mentioning parking her car in case he was worried about theft or safety."
"77",341,"always",NA,341,"mixtral","few_shot",90,"1","The fact that Gary mentioned specifically about picking the toppings suggests it is not a regular occurrence for someone else to pick them. While some people might have their favorite standard order and always get the same thing, based on common human behavior we can assume there's still room for variation 10% of the time when eating pizza with others or trying something new."
"78",342,"typically","yes",342,"mixtral","few_shot",80,"1","The fact that Gary mentioned ordering pizza but did not mention anything about choosing toppings could suggest that it is something he typically does himself. However, since this detail was left out in the conversation with Stephanie, there's still a chance (20%) that someone else might be deciding on the toppings at least occasionally."
"79",342,"occasionally","yes",342,"mixtral","few_shot",80,"1","The fact that Gary mentioned ordering pizza but did not mention anything about choosing toppings could suggest that it is something he typically does himself. However, since this detail was left out in the conversation with Stephanie, there's still a chance (20%) that someone else might be deciding on the toppings at least occasionally."
"80",343,"normally",NA,343,"mixtral","few_shot",90,"1","The fact that Julia mentioned she ""rinsed"" the dishes suggests that this is something she normally does. Additionally, since Julia wants to avoid annoying her roommates by leaving dirty dishes, it's likely she takes care to thoroughly clean them most of the time."
"81",344,"typically",NA,344,"mixtral","few_shot",30,"1","The fact that Julia mentioned specifically that she ""polished"" the dishes could indicate that it is not part of her usual routine when washing dishes. This might mean that she typically only does a quick rinse instead of thoroughly cleaning and polishing them, which she did on this occasion for some reason."
"82",345,"always",NA,345,"mixtral","few_shot",100,"1","The way Emma mentioned ""checked them out"" as if it is a normal procedure supports this. If she didn't always check out books, there would be no need for her to mention that fact specifically."
"83",349,"always","yes",349,"mixtral","few_shot",95,"1","Lucy mentioning that Jim threw the can away implies that this is a common occurrence. It seems unusual enough for her to bring it up in conversation with Carl later on, suggesting that it's not always done every single time. However, since it was mentioned as something that did happen today, we should assume that it happens most of the time."
"84",350,"usually",NA,350,"mixtral","few_shot",30,"1","The fact that Lucy specifically mentioned Jim adding medication to the dog's food suggests that this is not a common occurrence. This leads me to believe that he usually feeds the dog without needing to add any extra medication, but does so occasionally when required."
"85",350,"occasionally",NA,350,"mixtral","few_shot",30,"1","The fact that Lucy specifically mentioned Jim adding medication to the dog's food suggests that this is not a common occurrence. This leads me to believe that he usually feeds the dog without needing to add any extra medication, but does so occasionally when required."
"86",352,"every time",NA,352,"mixtral","few_shot",100,"1","The statement about Jane nearly falling off the platform does not provide any information regarding her buying a ticket. It is safe to assume that she purchases a ticket every time she takes the subway, as required by transit regulations and common sense."
"87",353,"always",NA,353,"mixtral","few_shot",100,"1","The fact that Annie felt it necessary to mention this detail about Rick closing the fuel cap suggests that he always does this action every single time. It is likely a standard procedure for him and most other drivers, making its mention unusual but not remarkable enough to raise suspicion otherwise."
"88",354,"rarely",NA,354,"mixtral","few_shot",95,"1","Although it's an action that seems too mundane to mention, Annie mentioned it as if it was noteworthy. This suggests that Rick must have forgotten this step only rarely."
"89",356,"occasionally",NA,356,"mixtral","few_shot",90,"1","The fact that Rachel mentioned seeing Brian on the train and then him being late for work indicates that it's a regular occurrence. However, since she did specify ""running late,"" we can assume that he still gets off at his stop most of the time but occasionally may be delayed."
"90",357,"always","yes",357,"mixtral","few_shot",95,"1","Dustin mentioning that Laura took her house keys with her is not particularly remarkable since people generally always take their keys while leaving home. Therefore, it suggests she does this almost every time when getting ready for work in the morning."
"91",357,"generally","yes",357,"mixtral","few_shot",95,"1","Dustin mentioning that Laura took her house keys with her is not particularly remarkable since people generally always take their keys while leaving home. Therefore, it suggests she does this almost every time when getting ready for work in the morning."
"92",357,"almost every time","yes",357,"mixtral","few_shot",95,"1","Dustin mentioning that Laura took her house keys with her is not particularly remarkable since people generally always take their keys while leaving home. Therefore, it suggests she does this almost every time when getting ready for work in the morning."
"93",357,"every time","yes",357,"mixtral","few_shot",95,"1","Dustin mentioning that Laura took her house keys with her is not particularly remarkable since people generally always take their keys while leaving home. Therefore, it suggests she does this almost every time when getting ready for work in the morning."
"94",358,"usually",NA,358,"mixtral","few_shot",95,"1","Dustin mentioning that Laura was ""just"" getting ready to leave with him indicates that she does this almost every working day. However, it is slightly unusual that he mentioned her layers of clothing which makes me think there might be something special about them on that particular day (e.g., they were unusually thick or colorful), hence my answer isn't 100%."
"95",364,"frequently",NA,364,"mixtral","few_shot",90,"1","Skydiving involves jumping from an airplane, so it is likely that Jared partakes in this activity most times he goes skydiving. Stella mentioning that Jared was the first to jump suggests a level of familiarity and comfort with the act itself, which further supports the idea that Jared jumps out of planes frequently during his visits to the skydiving center."
"96",365,"generally",NA,365,"mixtral","few_shot",90,"1","Writing letters is something people generally do with an intention to send and communicate. Given that Steve mentioned explicitly that Amy mailed the letter she wrote for Michelle, this suggests that Amy usually sends her letters after writing them. The fact that it was emphasized by Steve implies that mailing a letter may be unusual for Amy not to do so."
"97",365,"usually",NA,365,"mixtral","few_shot",90,"1","Writing letters is something people generally do with an intention to send and communicate. Given that Steve mentioned explicitly that Amy mailed the letter she wrote for Michelle, this suggests that Amy usually sends her letters after writing them. The fact that it was emphasized by Steve implies that mailing a letter may be unusual for Amy not to do so."
"98",366,"usually",NA,366,"mixtral","few_shot",85,"1","Since Steve mentioned that Amy ""wrote"" Michelle a letter and not just ""started to write,"" I assume she has already finished it. Given this information, people usually mail letters they have written, so I would estimate that Amy mails her letters 85% of the time after writing them, as there might be rare instances where she changes her mind or something unexpected happens before sending it out."
"99",367,"sometimes",NA,367,"mixtral","few_shot",20,"1","Although it's possible that Adam sometimes likes walking to the bus stop for some exercise or a change of pace, I believe he usually drives directly to the bus stop. The fact that Adam mentioned this detail to Virginia could indicate that taking the bus and walking to the bus stop are not his typical routine."
"100",367,"usually",NA,367,"mixtral","few_shot",20,"1","Although it's possible that Adam sometimes likes walking to the bus stop for some exercise or a change of pace, I believe he usually drives directly to the bus stop. The fact that Adam mentioned this detail to Virginia could indicate that taking the bus and walking to the bus stop are not his typical routine."
"101",368,"usually",NA,368,"mixtral","few_shot",30,"1","Although it is not specified if Adam always takes the bus or sometimes walks, Virginia's comment about him standing on the bus might suggest that he usually has a seat. This implies that the bus may not be too crowded, and therefore, Adam can walk to the stop at a leisurely pace rather than rushing most of the time."
"102",370,"typically",NA,370,"mixtral","few_shot",90,"1","Even though Esther mentioned trying on clothes during her shopping trip today, it's likely that she does this most times she goes shopping with friends. People typically try things on when they shop for clothing to see how well items fit and look before purchasing them."
"103",371,"usually",NA,371,"mixtral","few_shot",95,"1","Boiling pasta in water is a standard and common way to prepare pasta. The fact that Clara did not mention any other method or ingredient suggests this was an ordinary occurrence, leading me to believe Nick usually boils pasta in water when making it."
"104",372,"usually",NA,372,"mixtral","few_shot",90,"1","Based on the context provided, there is no indication that Clara found anything unusual about Nick adding vegetables to his pasta. Therefore, I assume he usually does this and boils pasta in water during most instances when cooking pasta dishes for his roommates."
"105",373,"usually",NA,373,"mixtral","few_shot",95,"1","Pre-heating an oven is a crucial step in most baking processes, as it ensures that cakes and other baked goods cook evenly. Grace explicitly mentioning this to Kyle suggests that she usually does pre-heat the oven when baking a cake; hence my answer is 95% of the time."
"106",374,"sometimes",NA,374,"mixtral","few_shot",90,"1","While it's possible that Grace might sometimes forget to preheat the oven, her mentioning the chocolate chips in the recipe suggests she is an experienced baker who pays attention to details. This leads me to believe that she usually follows proper baking procedures and thus pre-heats the oven 90% of the time when baking a cake."
"107",374,"usually",NA,374,"mixtral","few_shot",90,"1","While it's possible that Grace might sometimes forget to preheat the oven, her mentioning the chocolate chips in the recipe suggests she is an experienced baker who pays attention to details. This leads me to believe that she usually follows proper baking procedures and thus pre-heats the oven 90% of the time when baking a cake."
"108",377,"typically",NA,377,"mixtral","few_shot",95,"1","Given that Sandy typically cuts her own hair and mentioned using scissors to Patrick, it is highly likely she regularly uses them for this purpose. The fact that she specified ""scissors"" might imply she occasionally tries other methods but mostly relies on scissors due to their ease of use at home."
"109",378,"typically",NA,378,"mixtral","few_shot",90,"1","Given that Sandy typically cuts her own hair herself and has no training, it's reasonable to assume she always uses scissors for this task. The fact that she mentioned a minor mistake in this instance suggests that she is consistent with using scissors but may lack professional expertise."
"110",378,"always",NA,378,"mixtral","few_shot",90,"1","Given that Sandy typically cuts her own hair herself and has no training, it's reasonable to assume she always uses scissors for this task. The fact that she mentioned a minor mistake in this instance suggests that she is consistent with using scissors but may lack professional expertise."
"111",379,"typically",NA,379,"mixtral","few_shot",90,"1","People typically visit art exhibitions with the purpose of looking at and appreciating the artwork on display. The fact that Henry specifically mentioned looking at the photographs suggests that he might not have done so during their entire visit, but it is still a common behavior when going to photo exhibits."
"112",380,"often","yes",380,"mixtral","few_shot",30,"1","While it's common for people to look at photographs in an exhibition, Henry purchasing one is less frequent. Therefore, I assume that he doesn't often buy photos when going to these exhibitions but decided to make a purchase during his last visit."
"113",381,"frequently",NA,381,"mixtral","few_shot",90,"1","The fact that David specified where he saw Mary implies that this is not her usual behavior. However, since she is known for frequently visiting restaurants after interviews, it's more likely than not that she eats when going to a restaurant. Therefore, I would estimate that she does so 90% of the time."
"114",383,"generally",NA,383,"mixtral","few_shot",95,"1","People generally lock their cars as a matter of habit and security. The fact that Helen mentioned this to Peter might indicate that she doesn't always mention such everyday actions, so there is still a small chance she occasionally forgets or decides not to lock it (5%). However, overall it seems like Helen usually locks her car when parking it."
"115",383,"always","yes",383,"mixtral","few_shot",95,"1","People generally lock their cars as a matter of habit and security. The fact that Helen mentioned this to Peter might indicate that she doesn't always mention such everyday actions, so there is still a small chance she occasionally forgets or decides not to lock it (5%). However, overall it seems like Helen usually locks her car when parking it."
"116",383,"occasionally","yes",383,"mixtral","few_shot",95,"1","People generally lock their cars as a matter of habit and security. The fact that Helen mentioned this to Peter might indicate that she doesn't always mention such everyday actions, so there is still a small chance she occasionally forgets or decides not to lock it (5%). However, overall it seems like Helen usually locks her car when parking it."
