,run_ID,model,prompt_method,t,stimulus,setting,X,Q,A,A_clean,R,failsafe
10,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,2,1,AI,1,80%,80,"As a journalist who frequently goes out for meals after interviews, it is likely that Mary enjoys eating at restaurants most of the time. The fact that she went to a popular Chinese place suggests that food plays an important role in her social interactions and interview follow-ups.",
11,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,20,1,AI,1,90% of the time,90,"As a responsible individual who values their belongings and workspace security, Helen likely takes the habit of locking her car as soon as she parks it. This is especially true given that she drives to work daily, making it an ingrained routine for her.",
12,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,21,1,AI,1,80% of the time,80,"Since it's common for people to customize their pizza orders by choosing specific toppings, I assume that Gary would pick his own toppings most of the time. The fact that he regularly orders from this pizzeria suggests a level of familiarity and preference, which would likely extend to selecting personal favorite toppings.",
13,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,22,1,AI,1,90% of the time,90,"Since Julia tries to wash the dishes after eating and avoid annoying her roommates, it's likely that she would take the extra step to rinse the dishes thoroughly as well. This is a common habit for people who want to make sure their chores are done correctly.",
14,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,23,1,AI,1,90% of the time,90,"Since Emma doesn't have spare cash to spend on buying books and she frequently borrows from the library, it's likely that she always checks out the books whenever she visits. There would be no reason for her not to check them out if they're available at the library.",
15,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,24,1,AI,1,100% of the time,100,"As a new independent individual, it's likely that Logan wants to ensure his clothes are clean and fresh. Using detergent is essential for effective cleaning, so he probably uses it every single time when doing laundry.",
16,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,4,1,AI,1,80% of the time,80,"Since Jane takes the subway all the time to get around the city, it's likely that she always buys a ticket. The only exception might be if there is some kind of special pass or package deal available for frequent users like herself.",
17,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,5,1,AI,1,90% of the time,90,"As it's common for people to close the fuel cap after filling up their vehicle, and there is no reason given in this scenario that would suggest Rick wouldn't do so, I assume he does so most of the time.",
18,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,6,1,AI,1,90% of the time,90,"As someone who enjoys going swimming regularly after work, it's likely that Lisa always carries a swimsuit with her to be prepared for an impromptu swim. Bringinging a swimsuit is common practice when planning to go swimming, so there would be little reason for her not to do so.",
19,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,7,1,AI,1,90% of the time,90,"Given that Brian's commute is a long one, it would be unusual for him to not get off at his usual stop. The fact that he got off earlier in this scenario suggests that Rachel's presence was an exception rather than the norm.",
20,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,8,1,AI,1,90% of the time,90,"As a software engineer working at a large company, it's likely that Laura has to commute from home and therefore needs her house keys. Given this context, it seems reasonable to assume she grabs them almost every morning as part of her routine.",
21,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,9,1,AI,1,80% of the time,80,"Given that Bruce only goes to his local medical practice every few years, it's likely that he has a regular check-up or examination scheduled with the doctor. Therefore, I assume that when he does go in for an appointment, it would be for an actual examination rather than just dropping by without a purpose.",
