,run_ID,model,prompt_method,t,stimulus,setting,X,Q,A,A_clean,R,failsafe
19,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,19,5,AI,1,100% of the time,100,"Since Henry is visiting an art exhibition specifically for photography, it's likely that he would spend most of his time looking at and appreciating the photographs on display. The fact that he decided to buy a photograph suggests that he was thoroughly engaged with the exhibit and probably spent considerable time examining the artwork.",
20,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,2,3,AI,1,100% of the time,100,"As a journalist who goes to restaurants after her interviews, it is likely that she actually eats at those establishments. The scenario implies that she had just finished eating and was leaving the Chinese place when David ran into her, which further supports this assumption.",
21,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,2,5,AI,1,100% of the time,100,"As a journalist who goes to restaurants after interviews, it is likely that Mary typically eats at these establishments. The fact that she went to see their kitchen suggests she was there for food purposes rather than just observing or conducting research.",
22,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,20,3,AI,1,100% of the time,100,"Since Helen mentioned locking her car immediately after parking, it's likely that she always takes this extra step to ensure its security.",
23,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,20,5,AI,1,100% of the time,100,"It is a common practice for people to lock their cars when they park them, as it ensures the security and safety of the vehicle.",
24,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,21,3,AI,1,100% of the time,100,"As someone who regularly orders pizza from a specific pizzeria, it's likely that Gary would always pick his own toppings since he has control over the order and can customize it to his liking.",
25,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,21,5,AI,1,100% of the time,100,"Since Gary mentioned he used a gift certificate to pay for his order, it's likely that he would want to customize his pizza with his preferred toppings using the free purchase.",
26,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,22,3,AI,1,100% of the time,100,"Given that Julia is trying to avoid annoying her roommates by washing the dishes after eating, it's likely she would take extra care and rinse the dishes thoroughly as part of her effort to do them properly.",
27,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,22,5,AI,1,100% of the time,100,"Since Julia is motivated by avoiding to annoy her roommates and takes pride in polishing the dishes, it's likely that she would also take care to rinse them thoroughly before moving on to polish. This behavior suggests a high level of attention to detail and cleanliness.",
28,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,23,3,AI,1,100% of the time,100,"Since Emma doesn't have spare cash to spend on buying books and she frequently borrows from the library, it's likely that she always checks out the books when obtaining new ones.",
29,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,23,5,AI,1,100% of the time,100,"As a frequent borrower from the library and someone who doesn't have spare cash to spend on books, it's likely that Emma always takes advantage of the opportunity to browse through exhibits or displays at the library while she is there for book borrowing.",
30,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,24,3,AI,1,100% of the time,100,"As a responsible person who has started doing his own laundry, it is likely that Logan always uses detergent to ensure proper cleaning and hygiene.",
31,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,24,5,AI,1,100% of the time,100,"As a new independent person who has just started taking care of his own laundry, it's likely that Logan would use detergent every time he does laundry to ensure cleanliness and freshness.",
32,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,3,3,AI,1,100% of the time,100,"Since it's common practice to dispose of trash and packaging after use, especially in a shared living space where cleanliness is important, I assume that Jim usually throws the can away as part of his routine when feeding the dog.",
33,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,3,5,AI,1,100% of the time,100,"It is a common practice after using canned goods to dispose of the empty cans properly. In this scenario, it's likely that Jim would throw the can away as he finishes feeding the dog and has no further use for it.",
34,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,4,3,AI,1,100% of the time,100,"As someone who takes the subway ""all the time"", it's likely that Jane always purchases a ticket to ride the train. This is a common practice for frequent commuters and would be assumed by others, like Don, as normal behavior.",
35,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,4,5,AI,1,100% of the time,100,"As someone who takes the subway all the time to get around the city, it's highly likely that Jane always buys a ticket or uses her pass to ride the train. The fact that Don mentions Jane almost falling off the platform suggests that she was careful and followed proper safety protocols when boarding the train, which implies that she didn't try to sneak on without paying.",
36,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,5,3,AI,1,100% of the time,100,"Closing the fuel cap is a necessary step in fueling up at most gas stations. It's unlikely that someone would forget to close it every time they fill up, so Rick likely closes the fuel cap as part of his routine when filling up.",
37,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,5,5,AI,1,100% of the time,100,"It is a standard procedure for someone to close the fuel cap when they are finished fueling their vehicle. This ensures that any excess fuel does not spill out and creates an environmental hazard, as well as prevents potential safety issues on the road.",
38,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,7,3,AI,1,100% of the time,100,"As a commuter who takes the same route most mornings, it's likely that Brian knows exactly where to get off and would always do so. The fact that Rachel observed him getting off at his stop suggests this is a regular behavior for him.",
39,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,7,5,AI,1,100% of the time,100,"Given that Brian is commuting most mornings and takes the same route regularly, it's likely that he knows exactly where to get off. The fact that Rachel mentions him being ""running late"" suggests that Brian usually gets on the train with a specific destination in mind, making it unlikely for him not to know when to get off at his stop.",
40,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,8,3,AI,1,100% of the time,100,"As a responsible individual and as part of one's daily routine, it is common to grab house keys before leaving home. In this scenario, Laura likely grabbed her house keys because she would not be able to re-enter the apartment or access any necessary items without them.",
41,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,8,5,AI,1,100% of the time,100,"As a software engineer who works outside the home and likely has a daily commute, it is highly probable that Laura would grab her house keys as part of her routine getting ready for work in the morning.",
42,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,9,3,AI,1,100% of the time,100,"As a patient visiting their primary care physician, it is expected that they would get examined by the doctor during each visit. It's unlikely for Bruce to go just to socialize or run errands without any medical consultation taking place.",
43,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,9,5,AI,1,100% of the time,100,"The fact that Bruce goes to his local medical practice every few years suggests that he regularly receives examinations or check-ups from a doctor. It is likely that this visit was for an examination, which would explain why Sarah mentioned it specifically and also noticed him wearing a heart rate monitor.",
