,run_ID,model,prompt_method,t,stimulus,setting,X,Q,A,A_clean,R,P
10,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,10,1,Guess 3,1,70%,70.0,"Although Olivia clearly values her hair, there could be occasions where she opts for other hair care products instead of shampoo, although this is less likely.",0.1
11,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,10,1,Guess 4,1,80%,80.0,Olivia's emphasis on the importance of her hair care routine and the fact that she was talking to Thomas about her hair right after showering points to a high likelihood of her using shampoo every time she washes her hair.,0.0
12,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,10,3,1: Half of the time,1,100% of the time,100.0,"Olivia's attention to her hair and discussing it with her roommate Thomas suggest she regularly uses shampoo. It is a common practice for individuals to use shampoo when washing their hair, making it highly likely Olivia does so every time.",0.8
13,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,11,1,<Guess (1-4)>,1,<Answer (0%-100%)>,50.0,<Reasoning>,0.0
14,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,11,3,Jared jumps out of a plane on every skydiving course,1,100%,100.0,"Jared is dedicated to skydiving as he takes courses regularly, so it is likely that he jumps out of a plane every time he goes skydiving.",0.6
15,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,11,3,Jared jumps out of a plane most of the time when going skydiving,1,90%,90.0,"Given Jared's interest in skydiving, it is probable that he jumps out of a plane most of the time when he goes skydiving.",0.3
16,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,11,3,Jared jumps out of a plane sometimes when going skydiving,1,40%,40.0,"While Jared enjoys skydiving, there may be occasional reasons (like bad weather or equipment issues) that prevent him from jumping out of the plane every time.",0.1
17,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,11,3,Jared never jumps out of a plane when going skydiving,1,0%,0.0,This is highly unlikely given Jared's participation in skydiving courses and the context provided indicating his engagement with the activity.,0.0
18,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,12,1,Amy mails a letter within a day,1,10%,10.0,"Amy seems to have a habit of writing letters, but the immediate action of mailing it might not always be a priority for her.",0.7
19,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,12,1,Amy mails a letter within a week,1,60%,60.0,"Given her interest in letter writing and the recent example of writing to Michelle, it seems likely that Amy would mail the letters within a week.",0.8
20,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,12,1,Amy mails a letter within a month,1,20%,20.0,"While Amy enjoys writing letters, the delayed gratification of sending them might result in some letters being sent later than intended.",0.6
21,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,12,1,Amy mails a letter within specific occasions or holidays,1,10%,10.0,"Since Amy particularly enjoys writing during holidays, she might have a tendency to hold onto letters until those specific occasions to add a meaningful touch.",0.5
22,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,12,3,Guess 1,1,90%,90.0,"Given Amy's enjoyment of writing letters to close ones, it is highly likely that she would follow through and mail them.",0.8
23,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,12,3,Guess 2,1,75%,75.0,"Although Amy may enjoy writing the letters, the act of mailing them might happen slightly less frequently due to factors like forgetfulness or busyness.",0.6
24,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,12,3,Guess 3,1,60%,60.0,"Since Amy specifically wrote a letter to Michelle two days ago, it indicates she acts promptly on her intentions, making mailing the letter a probable course of action.",0.7
25,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,12,3,Guess 4,1,50%,50.0,"Without further context on Amy's habits or tendencies, there is a fifty-fifty chance she would actually mail the letters she writes, as people may sometimes procrastinate on such tasks.",0.5
26,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,13,1,Adam walks to the bus stop while taking the bus,1,100%,100.0,"It is common for people to walk a short distance to reach their bus stop, especially if it's only a few blocks away like in Adam's case.",0.8
27,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,13,1,Adam drives to the bus stop when taking the bus,1,0%,0.0,"Since Adam usually takes the bus and it's close to his house, it is more likely that he walks to the stop rather than driving.",0.1
28,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,13,1,Adam takes a bicycle to the bus stop when taking the bus,1,0%,0.0,"Given the proximity of the bus stop to Adam's house, it is improbable for him to use a bicycle when he can easily walk there.",0.05
29,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,13,1,Adam hails a cab to the bus stop when taking the bus,1,0%,0.0,It is unlikely for Adam to spend money on hailing a cab for such a short distance to the bus stop when walking is a convenient option.,0.05
30,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,13,3,Guess 1,1,100%,100.0,"It is likely that Adam walks to the bus stop every morning since it is just a few blocks from his house, as mentioned in the context.",0.6
31,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,13,3,Guess 2,1,0%,0.0,"Despite Adam stating that he walked to the bus stop that morning, the context implies he usually takes the bus, which suggests he doesn't walk to the bus stop.",0.2
32,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,13,3,Guess 3,1,75%,75.0,"There is a possibility that Adam walks to the bus stop some mornings for exercise or other reasons, even though the context mentions he usually takes the bus.",0.1
33,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,13,3,Guess 4,1,50%,50.0,"Without further information, it is equally likely that Adam sometimes walks to the bus stop and sometimes doesn't, making it a 50/50 chance.",0.1
34,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,14,1,Guess 1,1,70%,70.0,"Esther likely tries on clothes most of the time when shopping with friends, as it's a common practice to see how items fit and look before purchasing.",0.6
35,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,14,1,Guess 2,1,90%,90.0,"Esther probably tries on clothes almost every time she goes shopping with friends, given her enjoyment of the activity and the social aspect of trying on items together.",0.3
36,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,14,1,Guess 3,1,50%,50.0,"Esther may try on clothes half of the time when shopping with friends, depending on how familiar she is with the brands and styles available.",0.1
37,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,14,1,Guess 4,1,80%,80.0,"Esther most likely tries on clothes frequently when going shopping with friends, as it allows her to get feedback from others and make better purchase decisions.",0.5
38,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,14,3,Guess 1,1,80-100%,90.0,"Esther enjoys clothes shopping, and trying on clothes is a common part of the shopping experience for many people.",0.7
39,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,14,3,Guess 2,1,50-70%,60.0,"Esther may not always try something on during every shopping trip, especially if she is only browsing or looking for specific items.",0.2
40,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,14,3,Guess 3,1,0-20%,10.0,Esther might be confident in her clothing choices and not feel the need to try on every item she sees while shopping.,0.1
41,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,14,3,Guess 4,1,20-40%,30.0,Esther might have a specific shopping strategy and only try on items that truly catch her eye or meet certain criteria.,0.0
42,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,15,1,<Guess (1-4)>,1,<Answer (75%-100%)>,87.5,Nick likely boils pasta in water most of the time since it is a common and essential step in pasta preparation. It is a standard method unless he's making a specific type of pasta dish that requires a different technique.,0.8
43,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,15,3,Guess 1,1,100%,100.0,"Boiling pasta in water is the standard and most common method of cooking pasta, so it is highly likely that Nick always boils pasta in water when making it.",0.7
44,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,15,3,Guess 2,1,90%,90.0,"While it's possible that Nick may sometimes use alternative methods like baking or steaming, boiling pasta in water is a common and traditional cooking method, making it very likely that he does so most of the time.",0.2
45,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,15,3,Guess 3,1,95%,95.0,"Boiling pasta in water is a straightforward and quick method, which aligns with Nick's preference for easy ways to contribute to the household. It is probable that he usually opts to boil pasta when preparing dishes.",0.1
46,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,15,3,Guess 4,1,80%,80.0,"While boiling pasta in water is a common practice, some individuals may choose to prepare pasta using different methods such as microwaving or baking. Without more specific information, there is a slight possibility that Nick deviates from boiling pasta in water occasionally.",0.0
47,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,16,1,Grace always pre-heats the oven.,1,100%,100.0,"Pre-heating the oven is a common practice when baking to ensure the correct temperature from the start, which is generally considered a fundamental step in baking.",0.8
48,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,16,1,Grace pre-heats the oven most of the time.,1,90%,90.0,Pre-heating the oven is commonly recommended for baking to ensure the even cooking and consistency of the baked goods.,0.1
49,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,16,1,Grace occasionally pre-heats the oven.,1,50%,50.0,"While pre-heating is a best practice in baking, some individuals may skip this step occasionally due to time constraints or forgetfulness.",0.05
50,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,16,1,Grace rarely pre-heats the oven.,1,10%,10.0,It is less common for bakers to skip pre-heating the oven entirely as it can significantly impact the baking process and the final outcome of the cake.,0.05
51,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,16,3,"Grace often pre-heats the oven (1), Grace sometimes pre-heats the oven (2), Grace rarely pre-heats the oven (3), Grace never pre-heats the oven (4)",1,100%,100.0,"It is a common practice in baking to preheat the oven before putting the cake in, as it ensures even baking and proper rising of the cake. Grace's statement to her roommate suggests that she regularly pre-heats the oven.",0.9
52,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,16,3,"Grace often pre-heats the oven (1), Grace sometimes pre-heats the oven (2), Grace rarely pre-heats the oven (3), Grace never pre-heats the oven (4)",1,90%,90.0,"Most baking recipes require preheating the oven, and Grace's habits align with this common practice. Her statement to her roommate indicates that she usually pre-heats the oven before baking.",0.85
53,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,16,3,"Grace often pre-heats the oven (1), Grace sometimes pre-heats the oven (2), Grace rarely pre-heats the oven (3), Grace never pre-heats the oven (4)",1,80%,80.0,"Given Grace's enthusiasm for baking and the fact that she mentioned preheating the oven in a casual conversation, it is likely that she frequently pre-heats the oven when baking a cake.",0.7
54,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,16,3,"Grace often pre-heats the oven (1), Grace sometimes pre-heats the oven (2), Grace rarely pre-heats the oven (3), Grace never pre-heats the oven (4)",1,95%,95.0,The action of preheating the oven is a crucial step in baking to ensure the cake bakes properly. Grace's mention of preheating the oven in her conversation with her roommate implies that she does this regularly.,0.8
55,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,17,1,Greg always carries his cell phone on board.,1,100%,100.0,"It is common practice for people to carry their cell phones with them, especially during air travel, for communication and entertainment purposes.",0.6
56,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,17,1,Greg sometimes carries his cell phone on board.,1,70%,70.0,"Given Greg's frequent air travel and the importance of staying connected, it is likely that he usually carries his cell phone with him on board.",0.3
57,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,17,1,Greg rarely carries his cell phone on board.,1,5%,5.0,"Considering Greg's frequent air travel and the prevalent use of cell phones, it is unlikely that he rarely carries his phone on board.",0.05
58,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,17,1,Greg never carries his cell phone on board.,1,0%,0.0,"It is highly improbable for Greg, like most individuals, to never carry his cell phone on board during flights, given the reliance on mobile devices for various purposes.",0.05
59,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,17,3,Guess 1,1,90%,90.0,"People commonly carry their cell phones on board with them when flying, as it is a convenient device for entertainment, communication, and emergencies.",0.40
60,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,17,3,Guess 2,1,70%,70.0,"In today's digital age, it is common for individuals to have their cell phones with them at all times, including when flying on a plane.",0.25
61,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,17,3,Guess 3,1,60%,60.0,"Given Greg's frequent travel by air for both personal and professional reasons, it is likely that he often carries his cell phone on board with him for various purposes.",0.20
62,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,17,3,Guess 4,1,80%,80.0,"Since Greg's cell phone is a common device he uses in his daily life and for communication, it is probable that he usually carries it on board with him when flying to stay connected and accessible.",0.15
63,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,18,1,<Guess (1-4)>,1,<Answer (0%-100%)>,50.0,<Reasoning>,0.0
64,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,18,3,Guess 1,1,100%,100.0,"Sandy mentioned using scissors specifically when talking to her ex, implying that it is the usual tool she uses for cutting her hair.",0.8
65,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,18,3,Guess 2,1,75%,75.0,"Sandy's statement to her ex suggests that using scissors is a common practice for her, but there is a small chance she may use other tools occasionally.",0.15
66,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,18,3,Guess 3,1,50%,50.0,"While Sandy's comment implies that she uses scissors often, it may not be a strict rule for every time she cuts her hair.",0.04
67,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,18,3,Guess 4,1,0%,0.0,"Since Sandy specifically mentioned using scissors to her ex, it is very unlikely that she uses any other tools for cutting her hair.",0.01
68,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,19,1,Henry enjoys looking at photographs.,1,80%,80.0,Henry's interest in going to art exhibitions and encountering Max after visiting a photography exhibition suggest that he likely spends a significant amount of time looking at photographs during such events.,0.8
69,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,19,1,Henry quickly passes by the photographs.,1,20%,20.0,"Given that Henry goes to art exhibitions frequently and met with a friend after visiting the photography exhibit, it is more likely that he engages with the artwork rather than quickly passing by them.",0.2
70,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,19,1,Henry spends more time chatting with friends than looking at photographs.,1,30%,30.0,"While Henry enjoys chatting with friends, the fact that he goes to art exhibitions on a regular basis implies that he probably dedicates a decent amount of time to looking at the photographs as well.",0.3
71,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,19,1,Henry takes his time to carefully observe each photograph.,1,70%,70.0,"Henry's routine of going to art exhibitions and potentially spending a significant amount of time observing photographs, in addition to pausing to chat with a friend after the exhibition, suggests that he likely takes his time to carefully observe each photograph.",0.7
72,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,19,3,Guess 1,1,100%,100.0,It is highly likely that Henry looks at the photographs when going to a photo exhibit since that is the main purpose of attending such an event.,0.6
73,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,19,3,Guess 2,1,90%,90.0,"While it's probable that Henry looks at the photographs, there may be instances where he attends photo exhibits for social reasons rather than to view the artwork.",0.3
74,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,19,3,Guess 3,1,80%,80.0,Henry's statement to his friend about looking at the photographs suggests that he does so regularly when attending photo exhibits.,0.1
75,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,19,3,Guess 4,1,70%,70.0,"Considering that Henry specifically mentioned looking at the photographs to his friend after attending the exhibit, it is highly likely that he does so almost all the time.",0.0
76,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,2,1,Guess 1,1,90-100%,95.0,"Given that Mary is a journalist who often goes to restaurants after interviews, it is highly likely that she eats almost every time she visits a restaurant.",0.8
77,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,2,1,Guess 2,1,70-80%,75.0,"Considering that Mary goes to restaurants often, there might be occasions where she only orders a drink or a snack rather than a full meal.",0.1
78,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,2,1,Guess 3,1,60-70%,65.0,It is possible that Mary sometimes goes to restaurants simply for the ambiance or to meet with friends without necessarily eating a full meal.,0.05
79,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,2,1,Guess 4,1,40-50%,45.0,"In rare instances, Mary could opt to have a meal before or after meeting someone at a restaurant, hence not eating at the establishment during that visit.",0.05
80,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,2,3,Guess 1,1,100%,100.0,"It is highly likely that Mary eats whenever she goes to a restaurant, especially after an interview when she frequents them. Additionally, the context suggests that Mary ate at the Chinese place as mentioned by David.",0.8
81,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,2,3,Guess 2,1,90%,90.0,"Mary is a journalist who often goes to restaurants after her interviews, indicating a pattern of dining out. The fact that David mentioned Mary eating at the Chinese place also supports the assumption that she usually eats when she goes to a restaurant.",0.15
82,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,2,3,Guess 3,1,70%,70.0,"Considering Mary's profession and habit of dining out after interviews, there is a high likelihood that she usually eats when going to a restaurant. David's comment to Sally about Mary eating at the Chinese place further supports this assumption.",0.05
83,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,2,3,Guess 4,1,80%,80.0,"Given Mary's occupation as a journalist and the common practice of eating out after interviews, it is probable that she usually eats when she goes to a restaurant. The fact that David specifically mentioned Mary eating at the Chinese place adds weight to this likelihood.",0.001
84,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,20,1,Helen is focused on her work tasks.,1,95%,95.0,People who are task-focused and conscientious like Helen are likely to lock their cars almost all the time to ensure the safety of their belongings.,0.7
85,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,20,1,Helen considers her car security a top priority.,1,100%,100.0,Individuals who prioritize security and safety tend to always lock their cars to prevent theft or vandalism.,0.6
86,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,20,1,Helen lives in a safe neighborhood.,1,80%,80.0,"Even in safe neighborhoods, it's a common practice to lock cars to reduce the risk of opportunistic theft.",0.8
87,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,20,1,Helen is often forgetful and absent-minded.,1,20%,20.0,"Forgetful individuals may not consistently remember to lock their cars, especially if it's not a top priority for them.",0.3
88,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,20,3,Guess 1,1,100%,100.0,It is a common safety practice to lock cars after parking to prevent theft or break-ins.,0.7
89,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,20,3,Guess 2,1,90%,90.0,"Most people tend to lock their cars out of habit and for security reasons, especially in public places like work.",0.6
90,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,20,3,Guess 3,1,80%,80.0,"Given that she mentioned specifically that she locked her car, it indicates that locking her car is a regular practice for her.",0.7
91,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,20,3,Guess 4,1,95%,95.0,"Helen's statement to Peter about locking her car suggests that it is a common action for her, implying a high likelihood of her usually locking her car after parking it.",0.8
92,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,21,1,Guess 1: Gary usually picks the toppings himself,1,90%,90.0,"Gary likely has specific preferences when it comes to pizza toppings, leading him to choose them most of the time.",0.7
93,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,21,1,Guess 1: Gary usually picks the toppings himself,nan,5%,5.0,"Even though Gary often orders pizza, he might not be too particular about the toppings and could let the pizzeria decide for simplicity.",0.1
94,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,21,1,nan,nan,3%,3.0,"While Gary might have some input, it is possible that his colleagues have strong preferences and collectively decide on the toppings more often.",0.05
95,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,21,1,nan,nan,2%,2.0,"Considering that Stephanie walked over to chat after the order, Gary might sometimes mix it up and let others decide, but this would likely be the least common scenario.",0.15
96,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,21,3,Guess 1,1,80%,80.0,"Many people enjoy customizing their pizzas with their favorite toppings to suit their preferences, making it likely that Gary often chooses the toppings when ordering pizza.",0.6
97,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,21,3,Guess 2,1,50%,50.0,"It's common for people to choose the toppings for their pizza, but some may prefer the convenience of pre-set options or specials offered by the pizzeria, leading to a moderate likelihood of Gary picking the toppings.",0.2
